artists,songs,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,happy/sad
Black Sabbath,Changes,0.29,0.215,0,-12.762,1,0.0327,0.0321,1.66e-05,0.106,0.191,80.814,audio_features,3b7wNR330iKhql9dEdbNci,spotify:track:3b7wNR330iKhql9dEdbNci,https://api.spotify.com/v1/tracks/3b7wNR330iKhql9dEdbNci,https://api.spotify.com/v1/audio-analysis/3b7wNR330iKhql9dEdbNci,282497,3,0
Four Seasons,Rag Doll,0.452,0.57,5,-7.623,1,0.0322,0.581,0,0.1,0.677,109.954,audio_features,6BQVbqCKuROQNvc5WtwiPG,spotify:track:6BQVbqCKuROQNvc5WtwiPG,https://api.spotify.com/v1/tracks/6BQVbqCKuROQNvc5WtwiPG,https://api.spotify.com/v1/audio-analysis/6BQVbqCKuROQNvc5WtwiPG,151707,4,0
Bobby Vinton,Take Good Care of My Baby,0.463,0.364,7,-14.813,1,0.0351,0.508,0,0.418,0.409,115.14,audio_features,3diwyFfg0tWx8Z0j92oSZj,spotify:track:3diwyFfg0tWx8Z0j92oSZj,https://api.spotify.com/v1/tracks/3diwyFfg0tWx8Z0j92oSZj,https://api.spotify.com/v1/audio-analysis/3diwyFfg0tWx8Z0j92oSZj,165893,4,0
Shinedown,Shed Some Light,0.53,0.372,6,-8.603,1,0.0301,0.292,0,0.121,0.218,117.78,audio_features,15QtTgLOGHUxYSFLQ2y5UW,spotify:track:15QtTgLOGHUxYSFLQ2y5UW,https://api.spotify.com/v1/tracks/15QtTgLOGHUxYSFLQ2y5UW,https://api.spotify.com/v1/audio-analysis/15QtTgLOGHUxYSFLQ2y5UW,221720,4,0
Connie Francis,Who's Sorry Now,0.524,0.275,3,-9.71,1,0.027,0.747,0.000102,0.335,0.562,87.353,audio_features,59SSdTB2NR6gnVNAR5FOwQ,spotify:track:59SSdTB2NR6gnVNAR5FOwQ,https://api.spotify.com/v1/tracks/59SSdTB2NR6gnVNAR5FOwQ,https://api.spotify.com/v1/audio-analysis/59SSdTB2NR6gnVNAR5FOwQ,136360,4,0
Tori Amos,Strange,0.426,0.181,11,-15.667,1,0.0325,0.981,0.183,0.108,0.175,109.509,audio_features,5RCnDm5q0eZpURO4gUrtRr,spotify:track:5RCnDm5q0eZpURO4gUrtRr,https://api.spotify.com/v1/tracks/5RCnDm5q0eZpURO4gUrtRr,https://api.spotify.com/v1/audio-analysis/5RCnDm5q0eZpURO4gUrtRr,260627,3,0
Michael Bolton,How Am I Supposed to Live Without You,0.541,0.44,10,-12.206,1,0.031,0.191,0,0.114,0.232,140.273,audio_features,3RMeOetCdXttthQK0clPuz,spotify:track:3RMeOetCdXttthQK0clPuz,https://api.spotify.com/v1/tracks/3RMeOetCdXttthQK0clPuz,https://api.spotify.com/v1/audio-analysis/3RMeOetCdXttthQK0clPuz,255667,4,0
Gary Jules,Mad World,0.345,0.0581,3,-17.217,1,0.0374,0.976,0.000366,0.103,0.304,174.117,audio_features,3JOVTQ5h8HGFnDdp4VT3MP,spotify:track:3JOVTQ5h8HGFnDdp4VT3MP,https://api.spotify.com/v1/tracks/3JOVTQ5h8HGFnDdp4VT3MP,https://api.spotify.com/v1/audio-analysis/3JOVTQ5h8HGFnDdp4VT3MP,189507,4,0
Journey,Open Arms,0.405,0.21,2,-13.214,1,0.0279,0.584,0,0.139,0.174,100.577,audio_features,2w4EpqGasrz9qdTwocx54t,spotify:track:2w4EpqGasrz9qdTwocx54t,https://api.spotify.com/v1/tracks/2w4EpqGasrz9qdTwocx54t,https://api.spotify.com/v1/audio-analysis/2w4EpqGasrz9qdTwocx54t,202173,3,0
Elton John,Daniel,0.691,0.467,0,-11.861,1,0.0293,0.414,4.15e-05,0.0882,0.904,132.019,audio_features,1BvJmtaXsqtH438BcDPeBb,spotify:track:1BvJmtaXsqtH438BcDPeBb,https://api.spotify.com/v1/tracks/1BvJmtaXsqtH438BcDPeBb,https://api.spotify.com/v1/audio-analysis/1BvJmtaXsqtH438BcDPeBb,234667,4,0
Garth Brooks,The Dance,0.539,0.374,7,-7.434,1,0.0273,0.811,0.000464,0.11,0.102,135.113,audio_features,3vFk6g15YAzFtpJFRKBlIW,spotify:track:3vFk6g15YAzFtpJFRKBlIW,https://api.spotify.com/v1/tracks/3vFk6g15YAzFtpJFRKBlIW,https://api.spotify.com/v1/audio-analysis/3vFk6g15YAzFtpJFRKBlIW,219243,4,0
Michael Franti And Spearhead,Say Hey (I Love You),0.743,0.981,5,-4.347,0,0.0899,0.0368,1.17e-06,0.178,0.95,93.003,audio_features,0nnxf8p851ZR49KFnGWVsB,spotify:track:0nnxf8p851ZR49KFnGWVsB,https://api.spotify.com/v1/tracks/0nnxf8p851ZR49KFnGWVsB,https://api.spotify.com/v1/audio-analysis/0nnxf8p851ZR49KFnGWVsB,235760,4,1
Santo and Johnny,Sleepwalk,0.444,0.412,0,-11.569,1,0.0465,0.895,0.64,0.145,0.351,184.012,audio_features,1u1PzGnsWKjAwSZ9Rg1kjD,spotify:track:1u1PzGnsWKjAwSZ9Rg1kjD,https://api.spotify.com/v1/tracks/1u1PzGnsWKjAwSZ9Rg1kjD,https://api.spotify.com/v1/audio-analysis/1u1PzGnsWKjAwSZ9Rg1kjD,151092,3,0
Evanescence,Bring Me to Life,0.316,0.945,4,-3.169,0,0.124,0.00895,1.85e-06,0.396,0.32,189.931,audio_features,0COqiPhxzoWICwFCS4eZcp,spotify:track:0COqiPhxzoWICwFCS4eZcp,https://api.spotify.com/v1/tracks/0COqiPhxzoWICwFCS4eZcp,https://api.spotify.com/v1/audio-analysis/0COqiPhxzoWICwFCS4eZcp,235893,4,0
Ben Harper,Waiting on an Angel,0.631,0.0712,10,-18.702,1,0.0703,0.928,0,0.107,0.451,118.083,audio_features,24U9E0gs1fHhu8CoKwM0mF,spotify:track:24U9E0gs1fHhu8CoKwM0mF,https://api.spotify.com/v1/tracks/24U9E0gs1fHhu8CoKwM0mF,https://api.spotify.com/v1/audio-analysis/24U9E0gs1fHhu8CoKwM0mF,233933,3,0
Elton John & Kiki Dee,Don't Go Breakin' My Heart,0.635,0.517,5,-16.59,1,0.0325,0.00239,0.101,0.0663,0.474,131.973,audio_features,3Oio6n04xd2LovFLGs2KWC,spotify:track:3Oio6n04xd2LovFLGs2KWC,https://api.spotify.com/v1/tracks/3Oio6n04xd2LovFLGs2KWC,https://api.spotify.com/v1/audio-analysis/3Oio6n04xd2LovFLGs2KWC,276387,4,0
The Shangri-Las,Leader of the Pack,0.418,0.566,1,-8.637,1,0.0906,0.708,0,0.692,0.319,129.248,audio_features,6O5PIO5pAWxdoxvaUFQ02G,spotify:track:6O5PIO5pAWxdoxvaUFQ02G,https://api.spotify.com/v1/tracks/6O5PIO5pAWxdoxvaUFQ02G,https://api.spotify.com/v1/audio-analysis/6O5PIO5pAWxdoxvaUFQ02G,171333,4,0
Bruce Hornsby,Lost Soul,0.341,0.357,1,-8.239,1,0.027,0.775,0.000145,0.161,0.114,113.187,audio_features,2qNOtSVHKj11M5OkZ4lgR0,spotify:track:2qNOtSVHKj11M5OkZ4lgR0,https://api.spotify.com/v1/tracks/2qNOtSVHKj11M5OkZ4lgR0,https://api.spotify.com/v1/audio-analysis/2qNOtSVHKj11M5OkZ4lgR0,370520,3,0
The Eagles.,I Can't Tell You Why,0.707,0.346,11,-12.397,0,0.0251,0.69,0.145,0.1,0.49,85.094,audio_features,02BsTeJE4q5gWOTt58ur5U,spotify:track:02BsTeJE4q5gWOTt58ur5U,https://api.spotify.com/v1/tracks/02BsTeJE4q5gWOTt58ur5U,https://api.spotify.com/v1/audio-analysis/02BsTeJE4q5gWOTt58ur5U,295050,4,0
The Tremeloes,Silence is Golden,0.495,0.765,2,-5.769,1,0.0292,0.00217,7.43e-05,0.576,0.619,135.911,audio_features,5qGDUoTYnHTlXh7FQotg6J,spotify:track:5qGDUoTYnHTlXh7FQotg6J,https://api.spotify.com/v1/tracks/5qGDUoTYnHTlXh7FQotg6J,https://api.spotify.com/v1/audio-analysis/5qGDUoTYnHTlXh7FQotg6J,188933,4,0
Counting Crows,This Desert Life,0.499,0.783,0,-6.517,1,0.0837,0.303,0,0.744,0.707,91.396,audio_features,0LWINYMC4s8QTdDSb1B3Q3,spotify:track:0LWINYMC4s8QTdDSb1B3Q3,https://api.spotify.com/v1/tracks/0LWINYMC4s8QTdDSb1B3Q3,https://api.spotify.com/v1/audio-analysis/0LWINYMC4s8QTdDSb1B3Q3,247333,4,0
The Replacements,Here Comes a Regular,0.453,0.319,6,-13.216,1,0.0313,0.326,0,0.134,0.142,131.82,audio_features,5Yc1rQKy4uv4QJFJTPHEiu,spotify:track:5Yc1rQKy4uv4QJFJTPHEiu,https://api.spotify.com/v1/tracks/5Yc1rQKy4uv4QJFJTPHEiu,https://api.spotify.com/v1/audio-analysis/5Yc1rQKy4uv4QJFJTPHEiu,288133,4,0
Jewel,Foolish Games,0.298,0.0735,5,-16.472,1,0.0378,0.944,0.000401,0.0976,0.174,131.045,audio_features,6Ee5Y6kCdlZfoFhyR8xPVt,spotify:track:6Ee5Y6kCdlZfoFhyR8xPVt,https://api.spotify.com/v1/tracks/6Ee5Y6kCdlZfoFhyR8xPVt,https://api.spotify.com/v1/audio-analysis/6Ee5Y6kCdlZfoFhyR8xPVt,340667,4,0
The Rays,Silhouettes,0.428,0.403,7,-12.24,1,0.0387,0.853,0,0.324,0.692,78.053,audio_features,5P9EI5iZRctJ0QcarKmraH,spotify:track:5P9EI5iZRctJ0QcarKmraH,https://api.spotify.com/v1/tracks/5P9EI5iZRctJ0QcarKmraH,https://api.spotify.com/v1/audio-analysis/5P9EI5iZRctJ0QcarKmraH,166531,4,0
The Beatles ,Here Comes The Sun,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,audio_features,6dGnYIeXmHdcikdzNNDMm2,spotify:track:6dGnYIeXmHdcikdzNNDMm2,https://api.spotify.com/v1/tracks/6dGnYIeXmHdcikdzNNDMm2,https://api.spotify.com/v1/audio-analysis/6dGnYIeXmHdcikdzNNDMm2,185733,4,1
Elvis Presley,Love Me Tender,0.396,0.0373,9,-18.642,1,0.0416,0.907,4.41e-05,0.111,0.302,103.051,audio_features,4GAhAw0RCzNVP976NRMOqO,spotify:track:4GAhAw0RCzNVP976NRMOqO,https://api.spotify.com/v1/tracks/4GAhAw0RCzNVP976NRMOqO,https://api.spotify.com/v1/audio-analysis/4GAhAw0RCzNVP976NRMOqO,161360,3,0
Don McLean,Empty Chairs,0.507,0.101,7,-19.953,1,0.0336,0.912,7.11e-05,0.288,0.455,93.487,audio_features,60Rvgly3lLXctiaiMOOZlx,spotify:track:60Rvgly3lLXctiaiMOOZlx,https://api.spotify.com/v1/tracks/60Rvgly3lLXctiaiMOOZlx,https://api.spotify.com/v1/audio-analysis/60Rvgly3lLXctiaiMOOZlx,207773,3,0
Bob Dylan,It Ain't Me Babe,0.572,0.302,7,-8.573,1,0.0286,0.743,0,0.125,0.389,105.54,audio_features,5nbNWAfT1S6V1vqj3snHxS,spotify:track:5nbNWAfT1S6V1vqj3snHxS,https://api.spotify.com/v1/tracks/5nbNWAfT1S6V1vqj3snHxS,https://api.spotify.com/v1/audio-analysis/5nbNWAfT1S6V1vqj3snHxS,214440,4,0
Tim McGraw,Don't Take the Girl,0.439,0.454,0,-8.669,1,0.0308,0.279,0,0.123,0.354,204.263,audio_features,2iTRea118VRKRUzrGjjlHP,spotify:track:2iTRea118VRKRUzrGjjlHP,https://api.spotify.com/v1/tracks/2iTRea118VRKRUzrGjjlHP,https://api.spotify.com/v1/audio-analysis/2iTRea118VRKRUzrGjjlHP,249360,4,0
Buffalo Tom,Taillights Fade,0.303,0.862,4,-8.539,0,0.0511,0.00513,0,0.0874,0.279,85.562,audio_features,6nncZzBlYV9wXkkjZBzVWD,spotify:track:6nncZzBlYV9wXkkjZBzVWD,https://api.spotify.com/v1/tracks/6nncZzBlYV9wXkkjZBzVWD,https://api.spotify.com/v1/audio-analysis/6nncZzBlYV9wXkkjZBzVWD,224840,4,0
Bush,Inflatable,0.505,0.354,4,-11.447,0,0.033,0.422,1.37e-05,0.111,0.0659,118.088,audio_features,0ISMviNEBTsOAW270VTRPn,spotify:track:0ISMviNEBTsOAW270VTRPn,https://api.spotify.com/v1/tracks/0ISMviNEBTsOAW270VTRPn,https://api.spotify.com/v1/audio-analysis/0ISMviNEBTsOAW270VTRPn,261560,4,0
Reba McEntire,If I Had Only Known,0.374,0.0228,9,-17.135,1,0.0385,0.903,3.4e-06,0.0961,0.178,133.821,audio_features,6rf0Kgia2yt5j80glOBzpB,spotify:track:6rf0Kgia2yt5j80glOBzpB,https://api.spotify.com/v1/tracks/6rf0Kgia2yt5j80glOBzpB,https://api.spotify.com/v1/audio-analysis/6rf0Kgia2yt5j80glOBzpB,240360,3,0
Once soundtrack,Falling Slowly,0.549,0.155,0,-13.853,1,0.0265,0.752,0.000144,0.105,0.167,138.021,audio_features,5lEjASDXo2lLwLIVzASr1p,spotify:track:5lEjASDXo2lLwLIVzASr1p,https://api.spotify.com/v1/tracks/5lEjASDXo2lLwLIVzASr1p,https://api.spotify.com/v1/audio-analysis/5lEjASDXo2lLwLIVzASr1p,245000,4,0
Pink Floyd,Comfortably Numb,0.472,0.366,11,-12.595,0,0.0286,0.15,0.308,0.0837,0.171,127.167,audio_features,5HNCy40Ni5BZJFw1TKzRsC,spotify:track:5HNCy40Ni5BZJFw1TKzRsC,https://api.spotify.com/v1/tracks/5HNCy40Ni5BZJFw1TKzRsC,https://api.spotify.com/v1/audio-analysis/5HNCy40Ni5BZJFw1TKzRsC,382297,4,0
Weezer,The World has Turned and Left Me Here,0.457,0.901,6,-5.65,1,0.0369,0.000612,0.00864,0.296,0.582,99.08,audio_features,06isZAG9Bgm4jhPj7V0Rhx,spotify:track:06isZAG9Bgm4jhPj7V0Rhx,https://api.spotify.com/v1/tracks/06isZAG9Bgm4jhPj7V0Rhx,https://api.spotify.com/v1/audio-analysis/06isZAG9Bgm4jhPj7V0Rhx,259467,4,0
Bob Dylan,Knockin' on Heaven's Door,0.513,0.396,7,-13.061,1,0.0299,0.251,0.177,0.11,0.229,140.208,audio_features,6HSXNV0b4M4cLJ7ljgVVeh,spotify:track:6HSXNV0b4M4cLJ7ljgVVeh,https://api.spotify.com/v1/tracks/6HSXNV0b4M4cLJ7ljgVVeh,https://api.spotify.com/v1/audio-analysis/6HSXNV0b4M4cLJ7ljgVVeh,149880,4,0
Janet Jackson,Come Back to Me,0.203,0.414,5,-12.287,0,0.0297,0.615,0.0158,0.142,0.065,78.935,audio_features,0NSSqYISjnav81CEn6EgBY,spotify:track:0NSSqYISjnav81CEn6EgBY,https://api.spotify.com/v1/tracks/0NSSqYISjnav81CEn6EgBY,https://api.spotify.com/v1/audio-analysis/0NSSqYISjnav81CEn6EgBY,332742,4,0
Heart,Alone,0.418,0.452,1,-13.099,1,0.0356,0.638,0.00026,0.0959,0.168,175.088,audio_features,54b8qPFqYqIndfdxiLApea,spotify:track:54b8qPFqYqIndfdxiLApea,https://api.spotify.com/v1/tracks/54b8qPFqYqIndfdxiLApea,https://api.spotify.com/v1/audio-analysis/54b8qPFqYqIndfdxiLApea,218733,4,0
Black Eyed Peas,I Gotta Feeling,0.741,0.748,0,-6.299,1,0.0264,0.0823,0,0.34,0.6,127.965,audio_features,4vp2J1l5RD4gMZwGFLfRAu,spotify:track:4vp2J1l5RD4gMZwGFLfRAu,https://api.spotify.com/v1/tracks/4vp2J1l5RD4gMZwGFLfRAu,https://api.spotify.com/v1/audio-analysis/4vp2J1l5RD4gMZwGFLfRAu,289133,4,1
Madonna,Holiday,0.813,0.699,7,-8.656,1,0.0458,0.0251,0.0135,0.0527,0.732,117.548,audio_features,3ibAzRj9JnowdoLkyllk3n,spotify:track:3ibAzRj9JnowdoLkyllk3n,https://api.spotify.com/v1/tracks/3ibAzRj9JnowdoLkyllk3n,https://api.spotify.com/v1/audio-analysis/3ibAzRj9JnowdoLkyllk3n,231560,4,1
Luther Vandross,Dance With My Father,0.739,0.341,10,-9.971,1,0.0378,0.525,1.1e-06,0.072,0.231,80.958,audio_features,7snmvZMLdGGk3l9PcvoYSM,spotify:track:7snmvZMLdGGk3l9PcvoYSM,https://api.spotify.com/v1/tracks/7snmvZMLdGGk3l9PcvoYSM,https://api.spotify.com/v1/audio-analysis/7snmvZMLdGGk3l9PcvoYSM,266000,4,0
Patsy Cline,I Fall to Pieces,0.54,0.0635,10,-20.014,1,0.0375,0.929,1.55e-06,0.111,0.523,111.553,audio_features,21mFXNIvNkAz6ztV7EW7Du,spotify:track:21mFXNIvNkAz6ztV7EW7Du,https://api.spotify.com/v1/tracks/21mFXNIvNkAz6ztV7EW7Du,https://api.spotify.com/v1/audio-analysis/21mFXNIvNkAz6ztV7EW7Du,171333,4,0
James Brown,Living In America,0.754,0.854,0,-7.114,1,0.0363,0.00148,0.00692,0.0675,0.761,113.908,audio_features,4Y5yjzs9FFw5qIgfZBd43I,spotify:track:4Y5yjzs9FFw5qIgfZBd43I,https://api.spotify.com/v1/tracks/4Y5yjzs9FFw5qIgfZBd43I,https://api.spotify.com/v1/audio-analysis/4Y5yjzs9FFw5qIgfZBd43I,282840,4,1
The Beatles,Yer Blues,0.327,0.525,9,-10.272,1,0.0475,0.000875,0.259,0.133,0.435,151.766,audio_features,2AsGApoUuN8pTM17Lq9eUd,spotify:track:2AsGApoUuN8pTM17Lq9eUd,https://api.spotify.com/v1/tracks/2AsGApoUuN8pTM17Lq9eUd,https://api.spotify.com/v1/audio-analysis/2AsGApoUuN8pTM17Lq9eUd,240453,3,0
Michael Jackson,She's Out of My Life,0.293,0.0348,4,-23.92,1,0.0414,0.962,0.000212,0.105,0.101,130.959,audio_features,6NGsHLZYGVAkXTFr75WWnn,spotify:track:6NGsHLZYGVAkXTFr75WWnn,https://api.spotify.com/v1/tracks/6NGsHLZYGVAkXTFr75WWnn,https://api.spotify.com/v1/audio-analysis/6NGsHLZYGVAkXTFr75WWnn,218267,4,0
Queen,You're My Best Friend,0.512,0.762,0,-7.035,1,0.0495,0.155,0.0108,0.0874,0.553,118.894,audio_features,4OKf7CcYuw5H2HptkcKxcP,spotify:track:4OKf7CcYuw5H2HptkcKxcP,https://api.spotify.com/v1/tracks/4OKf7CcYuw5H2HptkcKxcP,https://api.spotify.com/v1/audio-analysis/4OKf7CcYuw5H2HptkcKxcP,170800,4,1
Toni Braxton,Breathe Again,0.689,0.677,0,-6.36,1,0.0326,0.0704,0,0.0877,0.259,153.919,audio_features,1xFliXOpcu7E89AsDAZ7JV,spotify:track:1xFliXOpcu7E89AsDAZ7JV,https://api.spotify.com/v1/tracks/1xFliXOpcu7E89AsDAZ7JV,https://api.spotify.com/v1/audio-analysis/1xFliXOpcu7E89AsDAZ7JV,269173,4,0
"Peter, Paul & Mary",Puff The Magic Dragon,0.581,0.143,9,-16.273,1,0.0401,0.65,0,0.104,0.469,144.605,audio_features,7raciFPVU5VuHmqVbw2c1h,spotify:track:7raciFPVU5VuHmqVbw2c1h,https://api.spotify.com/v1/tracks/7raciFPVU5VuHmqVbw2c1h,https://api.spotify.com/v1/audio-analysis/7raciFPVU5VuHmqVbw2c1h,208560,4,0
Andy Williams,Moon River,0.281,0.212,6,-15.513,1,0.031,0.86,7.73e-05,0.119,0.195,95.555,audio_features,24AIahNHzBxm9S12peXbnG,spotify:track:24AIahNHzBxm9S12peXbnG,https://api.spotify.com/v1/tracks/24AIahNHzBxm9S12peXbnG,https://api.spotify.com/v1/audio-analysis/24AIahNHzBxm9S12peXbnG,162893,3,0
James Blunt,You're Beautiful,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76e-05,0.088,0.454,81.998,audio_features,0vg4WnUWvze6pBOJDTq99k,spotify:track:0vg4WnUWvze6pBOJDTq99k,https://api.spotify.com/v1/tracks/0vg4WnUWvze6pBOJDTq99k,https://api.spotify.com/v1/audio-analysis/0vg4WnUWvze6pBOJDTq99k,209493,4,0
The Flying Burrito Brothers,Hot Burrito #1,0.402,0.424,5,-12.779,1,0.0289,0.00714,0.0264,0.165,0.41,156.864,audio_features,0fRAGPWGKsntkIB2uZ9zkd,spotify:track:0fRAGPWGKsntkIB2uZ9zkd,https://api.spotify.com/v1/tracks/0fRAGPWGKsntkIB2uZ9zkd,https://api.spotify.com/v1/audio-analysis/0fRAGPWGKsntkIB2uZ9zkd,217333,4,0
BB King,The Thrill is Gone,0.693,0.489,9,-9.709,0,0.0316,0.0854,0.00234,0.131,0.262,87.085,audio_features,6gRGLfswEsfpy1UxHEyP6X,spotify:track:6gRGLfswEsfpy1UxHEyP6X,https://api.spotify.com/v1/tracks/6gRGLfswEsfpy1UxHEyP6X,https://api.spotify.com/v1/audio-analysis/6gRGLfswEsfpy1UxHEyP6X,301133,4,0
Garth Brooks,The River,0.783,0.621,9,-7.816,1,0.0283,0.246,9.19e-06,0.0753,0.678,106.998,audio_features,3YfgxICmLEzoM87JX9MR5a,spotify:track:3YfgxICmLEzoM87JX9MR5a,https://api.spotify.com/v1/tracks/3YfgxICmLEzoM87JX9MR5a,https://api.spotify.com/v1/audio-analysis/3YfgxICmLEzoM87JX9MR5a,229956,4,0
Jimmy Durante,Make Someone Happy,0.348,0.2,5,-13.727,0,0.0474,0.636,0,0.124,0.421,169.821,audio_features,1tiiE56SgAXuPqBk20hQw4,spotify:track:1tiiE56SgAXuPqBk20hQw4,https://api.spotify.com/v1/tracks/1tiiE56SgAXuPqBk20hQw4,https://api.spotify.com/v1/audio-analysis/1tiiE56SgAXuPqBk20hQw4,111986,3,1
Elvis Presley,Don't Cry Daddy,0.299,0.187,2,-17.874,1,0.0297,0.781,1.86e-05,0.178,0.318,171.241,audio_features,3pF9RSOcd9dMFA19TMbvji,spotify:track:3pF9RSOcd9dMFA19TMbvji,https://api.spotify.com/v1/tracks/3pF9RSOcd9dMFA19TMbvji,https://api.spotify.com/v1/audio-analysis/3pF9RSOcd9dMFA19TMbvji,167280,4,0
Nine Inch Nails,Hurt,0.485,0.193,11,-16.985,0,0.0322,0.697,0.0262,0.135,0.079,79.926,audio_features,4pFnV6aV1bnEDqPDGBlrNp,spotify:track:4pFnV6aV1bnEDqPDGBlrNp,https://api.spotify.com/v1/tracks/4pFnV6aV1bnEDqPDGBlrNp,https://api.spotify.com/v1/audio-analysis/4pFnV6aV1bnEDqPDGBlrNp,373333,4,0
Bruce Springsteen,Highway Patrolman,0.478,0.0423,6,-20.078,1,0.0306,0.778,3.58e-05,0.109,0.192,104.267,audio_features,408tTuSDxIr3zDR90Zmcw2,spotify:track:408tTuSDxIr3zDR90Zmcw2,https://api.spotify.com/v1/tracks/408tTuSDxIr3zDR90Zmcw2,https://api.spotify.com/v1/audio-analysis/408tTuSDxIr3zDR90Zmcw2,336400,4,0
Billy Joel,Piano Man,0.334,0.472,0,-8.792,1,0.0277,0.6,3.77e-06,0.317,0.431,179.167,audio_features,3FCto7hnn1shUyZL42YgfO,spotify:track:3FCto7hnn1shUyZL42YgfO,https://api.spotify.com/v1/tracks/3FCto7hnn1shUyZL42YgfO,https://api.spotify.com/v1/audio-analysis/3FCto7hnn1shUyZL42YgfO,336093,3,0
Joe Cocker and Jennifer Warnes,Up Where We Belong,0.632,0.305,2,-11.842,1,0.0326,0.614,2.01e-05,0.0713,0.238,139.935,audio_features,1h22h211rde6dDCeW2hXpN,spotify:track:1h22h211rde6dDCeW2hXpN,https://api.spotify.com/v1/tracks/1h22h211rde6dDCeW2hXpN,https://api.spotify.com/v1/audio-analysis/1h22h211rde6dDCeW2hXpN,232573,4,1
The Smiths,There Is A Light That Never Goes Out,0.523,0.769,4,-5.855,1,0.0269,0.04,0,0.136,0.876,136.162,audio_features,0WQiDwKJclirSYG9v5tayI,spotify:track:0WQiDwKJclirSYG9v5tayI,https://api.spotify.com/v1/tracks/0WQiDwKJclirSYG9v5tayI,https://api.spotify.com/v1/audio-analysis/0WQiDwKJclirSYG9v5tayI,244587,4,0
The Verve Pipe,The Freshmen,0.571,0.505,1,-9.312,0,0.0238,0.0757,1.04e-05,0.109,0.276,99.562,audio_features,21jEuMn2lf37715rwjow2M,spotify:track:21jEuMn2lf37715rwjow2M,https://api.spotify.com/v1/tracks/21jEuMn2lf37715rwjow2M,https://api.spotify.com/v1/audio-analysis/21jEuMn2lf37715rwjow2M,269467,4,0
Mark Dinning,Teen Angel,0.57,0.0636,0,-18.548,1,0.0459,0.936,0,0.122,0.282,101.517,audio_features,36NPEs4S7ik50NrlzaqoIJ,spotify:track:36NPEs4S7ik50NrlzaqoIJ,https://api.spotify.com/v1/tracks/36NPEs4S7ik50NrlzaqoIJ,https://api.spotify.com/v1/audio-analysis/36NPEs4S7ik50NrlzaqoIJ,159893,4,0
,Somewhere Out There,0.388,0.746,1,-5.306,1,0.0318,0.000563,0,0.0719,0.458,159.675,audio_features,6fQJg7MdQssgZJDhTJtFtd,spotify:track:6fQJg7MdQssgZJDhTJtFtd,https://api.spotify.com/v1/tracks/6fQJg7MdQssgZJDhTJtFtd,https://api.spotify.com/v1/audio-analysis/6fQJg7MdQssgZJDhTJtFtd,251333,4,0
Mike & The Mechanics,The Living Years,0.518,0.417,8,-13.268,1,0.0325,0.58,0,0.0722,0.311,97.63,audio_features,7tJnjRY2js0yXtNUWE4fgF,spotify:track:7tJnjRY2js0yXtNUWE4fgF,https://api.spotify.com/v1/tracks/7tJnjRY2js0yXtNUWE4fgF,https://api.spotify.com/v1/audio-analysis/7tJnjRY2js0yXtNUWE4fgF,330267,4,0
Merle Haggard,You Take Me for Granted,0.398,0.285,4,-16.119,1,0.0314,0.55,4.5e-06,0.157,0.191,78.963,audio_features,1VOlrwdQwP2k7Cx9QfVnWD,spotify:track:1VOlrwdQwP2k7Cx9QfVnWD,https://api.spotify.com/v1/tracks/1VOlrwdQwP2k7Cx9QfVnWD,https://api.spotify.com/v1/audio-analysis/1VOlrwdQwP2k7Cx9QfVnWD,160827,3,0
Bruce Springsteen,Downbound Train,0.544,0.762,10,-7.289,1,0.0382,0.0585,0,0.074,0.473,120.023,audio_features,4a0oZYU2ntSUof4lkm2PCl,spotify:track:4a0oZYU2ntSUof4lkm2PCl,https://api.spotify.com/v1/tracks/4a0oZYU2ntSUof4lkm2PCl,https://api.spotify.com/v1/audio-analysis/4a0oZYU2ntSUof4lkm2PCl,215427,4,0
Patsy Cline,She's Got You,0.388,0.143,5,-17.545,1,0.0416,0.947,0.000865,0.1,0.578,182.665,audio_features,4H1POasJbrLNaQirsIH29e,spotify:track:4H1POasJbrLNaQirsIH29e,https://api.spotify.com/v1/tracks/4H1POasJbrLNaQirsIH29e,https://api.spotify.com/v1/audio-analysis/4H1POasJbrLNaQirsIH29e,181800,3,0
Bob Dylan,Not Dark Yet,0.465,0.381,4,-14.195,1,0.0316,0.529,0.00835,0.111,0.227,126.372,audio_features,1qbn6QrHG8XfnqVFKgNzKP,spotify:track:1qbn6QrHG8XfnqVFKgNzKP,https://api.spotify.com/v1/tracks/1qbn6QrHG8XfnqVFKgNzKP,https://api.spotify.com/v1/audio-analysis/1qbn6QrHG8XfnqVFKgNzKP,387733,4,0
Dolly Parton,I Will Always Love You,0.446,0.142,9,-13.498,1,0.0335,0.96,0.00114,0.101,0.156,135.724,audio_features,6nRvgo4ySezQKD1D7NIqAu,spotify:track:6nRvgo4ySezQKD1D7NIqAu,https://api.spotify.com/v1/tracks/6nRvgo4ySezQKD1D7NIqAu,https://api.spotify.com/v1/audio-analysis/6nRvgo4ySezQKD1D7NIqAu,176093,4,0
