artists,songs,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,happy/sad
Frankie Valli,My Eyes Adored You,0.446,0.489,11,-10.26,0,0.033,0.272,0,0.16,0.396,137.829,audio_features,2cqVnbTiYgdun186IbDRwm,spotify:track:2cqVnbTiYgdun186IbDRwm,https://api.spotify.com/v1/tracks/2cqVnbTiYgdun186IbDRwm,https://api.spotify.com/v1/audio-analysis/2cqVnbTiYgdun186IbDRwm,212627,4,0
Sarah McLachlan,Angel,0.532,0.0744,1,-16.092,1,0.0355,0.949,1.22e-05,0.106,0.125,117.131,audio_features,3xZMPZQYETEn4hjor3TR1A,spotify:track:3xZMPZQYETEn4hjor3TR1A,https://api.spotify.com/v1/tracks/3xZMPZQYETEn4hjor3TR1A,https://api.spotify.com/v1/audio-analysis/3xZMPZQYETEn4hjor3TR1A,270400,3,0
Frankie Lymon & The Teenagers,Why do Fools Fall in Love,0.388,0.532,1,-8.685,1,0.102,0.51,3.06e-06,0.0974,0.845,173.586,audio_features,2xKfXRhw5xaUXfevJJspZf,spotify:track:2xKfXRhw5xaUXfevJJspZf,https://api.spotify.com/v1/tracks/2xKfXRhw5xaUXfevJJspZf,https://api.spotify.com/v1/audio-analysis/2xKfXRhw5xaUXfevJJspZf,139667,4,0
Dramatics,I Can't Get Over You,0.447,0.67,11,-7.404,0,0.11,0.566,0.00165,0.685,0.408,131.742,audio_features,69wQ9n2PtCKoPLkXUBREEj,spotify:track:69wQ9n2PtCKoPLkXUBREEj,https://api.spotify.com/v1/tracks/69wQ9n2PtCKoPLkXUBREEj,https://api.spotify.com/v1/audio-analysis/69wQ9n2PtCKoPLkXUBREEj,243093,4,0
Journey,Faithfully,0.202,0.644,11,-5.212,1,0.0324,0.0979,0,0.109,0.252,85.04,audio_features,57ebBLITHpRgRKGrlbxMZS,spotify:track:57ebBLITHpRgRKGrlbxMZS,https://api.spotify.com/v1/tracks/57ebBLITHpRgRKGrlbxMZS,https://api.spotify.com/v1/audio-analysis/57ebBLITHpRgRKGrlbxMZS,267080,5,0
Immortal Technique,Dance with the Devil,0.673,0.871,1,-5.781,0,0.415,0.433,0,0.477,0.232,89.186,audio_features,7MDUVH4ITohsIjdynRwCJp,spotify:track:7MDUVH4ITohsIjdynRwCJp,https://api.spotify.com/v1/tracks/7MDUVH4ITohsIjdynRwCJp,https://api.spotify.com/v1/audio-analysis/7MDUVH4ITohsIjdynRwCJp,579293,4,0
Sarah McLachlan,I Will Remember You,0.449,0.487,9,-9.967,1,0.031,0.47,0.000129,0.691,0.389,76.487,audio_features,0xzDbdFFnPz9CiQ0YZMq4K,spotify:track:0xzDbdFFnPz9CiQ0YZMq4K,https://api.spotify.com/v1/tracks/0xzDbdFFnPz9CiQ0YZMq4K,https://api.spotify.com/v1/audio-analysis/0xzDbdFFnPz9CiQ0YZMq4K,213467,4,0
Stevie Wonder,They Won't Go When I Go,0.265,0.235,6,-12.393,0,0.0315,0.857,0.304,0.126,0.038,116.044,audio_features,1lIOMibFPfFYlJnjQaZluo,spotify:track:1lIOMibFPfFYlJnjQaZluo,https://api.spotify.com/v1/tracks/1lIOMibFPfFYlJnjQaZluo,https://api.spotify.com/v1/audio-analysis/1lIOMibFPfFYlJnjQaZluo,358933,3,0
Eric Carmen,All By Myself,0.376,0.373,7,-9.184,0,0.0305,0.827,0.832,0.15,0.111,116.074,audio_features,0AQqrtK1pULuwZUXhwaaDz,spotify:track:0AQqrtK1pULuwZUXhwaaDz,https://api.spotify.com/v1/tracks/0AQqrtK1pULuwZUXhwaaDz,https://api.spotify.com/v1/audio-analysis/0AQqrtK1pULuwZUXhwaaDz,430000,4,0
StarSailor,Tie Up My Hands,0.538,0.36,8,-11.856,1,0.0237,0.195,0.00255,0.105,0.197,86.894,audio_features,3k69XuwFFQMkZpqIO65R06,spotify:track:3k69XuwFFQMkZpqIO65R06,https://api.spotify.com/v1/tracks/3k69XuwFFQMkZpqIO65R06,https://api.spotify.com/v1/audio-analysis/3k69XuwFFQMkZpqIO65R06,346333,4,0
